layerId nodeId binId sigmaInterval_lb sigmaInterval_ub sigmaFreq
1 0 0 -0.2090425380 -0.1581281863 241
1 0 1 -0.1581281863 -0.1072138346 3711
1 0 2 -0.1072138346 -0.0562994829 6320
1 0 3 -0.0562994829 -0.0053851312 6513
1 0 4 -0.0053851312 0.0455292205 1545
1 0 5 0.0455292205 0.0964435722 402
1 0 6 0.0964435722 0.1473579239 80
1 0 7 0.1473579239 0.1982722756 3
1 1 0 -0.1515062270 -0.1151370295 150
1 1 1 -0.1151370295 -0.0787678320 3677
1 1 2 -0.0787678320 -0.0423986345 6778
1 1 3 -0.0423986345 -0.0060294370 5976
1 1 4 -0.0060294370 0.0303397605 1481
1 1 5 0.0303397605 0.0667089580 691
1 1 6 0.0667089580 0.1030781555 48
1 1 7 0.1030781555 0.1394473530 13
1 1 8 0.1394473530 0.1758165505 1
1 2 0 -0.2719760802 -0.2163760644 82
1 2 1 -0.2163760644 -0.1607760486 2136
1 2 2 -0.1607760486 -0.1051760328 5767
1 2 3 -0.1051760328 -0.0495760170 5603
1 2 4 -0.0495760170 0.0060239988 5025
1 2 5 0.0060239988 0.0616240146 179
1 2 6 0.0616240146 0.1172240304 23
1 3 0 -0.0900893822 -0.0773341684 25
1 3 1 -0.0773341684 -0.0645789546 165
1 3 2 -0.0645789546 -0.0518237408 812
1 3 3 -0.0518237408 -0.0390685270 3834
1 3 4 -0.0390685270 -0.0263133132 7174
1 3 5 -0.0263133132 -0.0135580994 5535
1 3 6 -0.0135580994 -0.0008028856 1169
1 3 7 -0.0008028856 0.0119523282 63
1 3 8 0.0119523282 0.0247075420 23
1 3 9 0.0247075420 0.0374627558 9
1 3 10 0.0374627558 0.0502179696 3
1 3 11 0.0502179696 0.0629731834 2
1 3 12 0.0629731834 0.0757283972 1
1 4 0 -0.0318290338 0.2695004133 5803
1 4 1 0.2695004133 0.5708298604 5102
1 4 2 0.5708298604 0.8721593075 5864
1 4 3 0.8721593075 1.1734887546 1994
1 4 4 1.1734887546 1.4748182017 52
1 5 0 -0.0338798018 0.2953205952 6327
1 5 1 0.2953205952 0.6245209922 5468
1 5 2 0.6245209922 0.9537213892 5146
1 5 3 0.9537213892 1.2829217862 1833
1 5 4 1.2829217862 1.6121221832 41
1 6 0 -0.0276812927 0.2020739530 5458
1 6 1 0.2020739530 0.4318291987 5789
1 6 2 0.4318291987 0.6615844444 5370
1 6 3 0.6615844444 0.8913396901 2118
1 6 4 0.8913396901 1.1210949358 80
1 7 0 -0.2505812941 -0.1943713765 248
1 7 1 -0.1943713765 -0.1381614589 2848
1 7 2 -0.1381614589 -0.0819515413 5890
1 7 3 -0.0819515413 -0.0257416237 6114
1 7 4 -0.0257416237 0.0304682939 3306
1 7 5 0.0304682939 0.0866782115 361
1 7 6 0.0866782115 0.1428881291 46
1 7 7 0.1428881291 0.1990980467 2
1 8 0 -0.3156304566 -0.2572639403 108
1 8 1 -0.2572639403 -0.1988974240 2012
1 8 2 -0.1988974240 -0.1405309077 5795
1 8 3 -0.1405309077 -0.0821643914 5245
1 8 4 -0.0821643914 -0.0237978751 5455
1 8 5 -0.0237978751 0.0345686412 200
1 9 0 -0.2446377750 -0.1937631714 112
1 9 1 -0.1937631714 -0.1428885678 1714
1 9 2 -0.1428885678 -0.0920139642 4759
1 9 3 -0.0920139642 -0.0411393606 6319
1 9 4 -0.0411393606 0.0097352430 5361
1 9 5 0.0097352430 0.0606098466 473
1 9 6 0.0606098466 0.1114844502 63
1 9 7 0.1114844502 0.1623590538 11
1 9 8 0.1623590538 0.2132336574 3
1 10 0 -0.2132610800 -0.1590312071 506
1 10 1 -0.1590312071 -0.1048013342 5110
1 10 2 -0.1048013342 -0.0505714613 6099
1 10 3 -0.0505714613 0.0036584116 5965
1 10 4 0.0036584116 0.0578882845 765
1 10 5 0.0578882845 0.1121181574 347
1 10 6 0.1121181574 0.1663480303 23
1 11 0 -0.1594128942 -0.1229969442 668
1 11 1 -0.1229969442 -0.0865809942 4651
1 11 2 -0.0865809942 -0.0501650442 5871
1 11 3 -0.0501650442 -0.0137490942 5436
1 11 4 -0.0137490942 0.0226668558 2088
1 11 5 0.0226668558 0.0590828058 98
1 11 6 0.0590828058 0.0954987558 2
1 11 7 0.0954987558 0.1319147058 1
1 12 0 -0.0098504417 0.2737257561 4659
1 12 1 0.2737257561 0.5573019539 5687
1 12 2 0.5573019539 0.8408781517 5552
1 12 3 0.8408781517 1.1244543495 2741
1 12 4 1.1244543495 1.4080305473 176
