inputId TrueClass PredictedClass SensitiveAttr SetName
0 0 0 1 valid
1 0 0 1 valid
2 1 0 1 valid
3 0 0 0 valid
4 1 1 1 valid
5 0 0 0 valid
6 1 1 1 valid
7 0 0 0 valid
8 1 1 1 valid
9 0 0 1 valid
10 0 0 1 valid
11 1 0 0 valid
12 0 0 1 valid
13 0 0 1 valid
14 0 1 1 valid
15 0 0 1 valid
16 1 0 1 valid
17 1 1 0 valid
18 0 0 1 valid
19 0 0 1 valid
20 0 0 1 valid
21 1 0 1 valid
22 1 1 0 valid
23 1 1 1 valid
24 0 0 0 valid
25 0 0 1 valid
26 1 0 1 valid
27 0 0 1 valid
28 0 0 1 valid
29 0 0 0 valid
30 0 0 1 valid
31 0 0 1 valid
32 0 0 0 valid
33 0 1 0 valid
34 0 0 1 valid
35 0 0 0 valid
36 0 0 1 valid
37 0 0 0 valid
38 1 1 1 valid
39 1 0 1 valid
40 0 0 0 valid
41 0 0 1 valid
42 0 0 1 valid
43 0 0 0 valid
44 1 1 1 valid
45 0 0 0 valid
46 0 0 1 valid
47 0 0 0 valid
48 1 1 0 valid
49 0 0 0 valid
50 0 0 0 valid
51 0 0 1 valid
52 0 0 1 valid
53 0 0 0 valid
54 0 0 0 valid
55 0 0 0 valid
56 0 0 0 valid
57 1 1 1 valid
58 1 1 1 valid
59 0 0 1 valid
60 0 0 1 valid
61 1 0 1 valid
62 0 0 1 valid
63 0 0 0 valid
64 0 0 0 valid
65 0 0 0 valid
66 0 0 0 valid
67 0 0 1 valid
68 0 1 1 valid
69 0 0 1 valid
70 0 0 1 valid
71 1 1 1 valid
72 1 0 1 valid
73 0 0 1 valid
74 0 0 1 valid
75 0 0 1 valid
76 1 1 1 valid
77 0 0 0 valid
78 0 0 1 valid
79 1 1 1 valid
80 0 0 0 valid
81 0 0 1 valid
82 0 1 1 valid
83 0 0 0 valid
84 0 0 1 valid
85 0 0 1 valid
86 0 0 1 valid
87 0 0 1 valid
88 0 0 0 valid
89 0 0 1 valid
90 0 0 1 valid
91 0 0 1 valid
92 1 0 0 valid
93 0 0 1 valid
94 0 0 1 valid
95 0 0 1 valid
96 0 0 1 valid
97 1 0 0 valid
98 0 0 1 valid
99 0 0 0 valid
100 0 0 1 valid
101 1 0 1 valid
102 0 1 1 valid
103 1 1 1 valid
104 0 1 1 valid
105 0 0 1 valid
106 0 0 0 valid
107 1 1 1 valid
108 1 1 0 valid
109 0 0 0 valid
110 0 0 1 valid
111 1 0 1 valid
112 1 1 1 valid
113 0 0 0 valid
114 0 0 1 valid
115 0 0 0 valid
116 0 0 1 valid
117 0 0 1 valid
118 0 0 0 valid
119 0 0 1 valid
120 0 0 1 valid
121 0 0 1 valid
122 0 0 0 valid
123 0 0 1 valid
124 1 0 1 valid
125 0 1 1 valid
126 0 0 0 valid
127 0 0 0 valid
128 0 0 1 valid
129 0 0 0 valid
130 0 1 1 valid
131 0 0 1 valid
132 0 0 1 valid
133 0 0 0 valid
134 1 0 1 valid
135 1 1 1 valid
136 0 1 1 valid
137 1 1 1 valid
138 0 1 1 valid
139 0 0 1 valid
140 0 0 0 valid
141 0 0 0 valid
142 0 0 1 valid
143 0 0 1 valid
144 0 0 0 valid
145 0 0 1 valid
146 0 0 1 valid
147 0 0 1 valid
148 1 0 1 valid
