layerId nodeId binId sigmaInterval_lb sigmaInterval_ub sigmaFreq
1 0 0 -0.0093550940 0.0700442737 178
1 0 1 0.0700442737 0.1494436414 828
1 0 2 0.1494436414 0.2288430091 1515
1 0 3 0.2288430091 0.3082423768 1054
1 0 4 0.3082423768 0.3876417445 408
1 0 5 0.3876417445 0.4670411122 47
1 1 0 -0.0192744295 0.0288622599 1057
1 1 1 0.0288622599 0.0769989493 1496
1 1 2 0.0769989493 0.1251356387 1022
1 1 3 0.1251356387 0.1732723281 388
1 1 4 0.1732723281 0.2214090175 65
1 1 5 0.2214090175 0.2695457069 2
1 2 0 -0.0083493769 0.0953980412 724
1 2 1 0.0953980412 0.1991454593 1780
1 2 2 0.1991454593 0.3028928774 886
1 2 3 0.3028928774 0.4066402955 526
1 2 4 0.4066402955 0.5103877136 105
1 2 5 0.5103877136 0.6141351317 9
1 3 0 -0.0396613024 -0.0287177461 26
1 3 1 -0.0287177461 -0.0177741898 456
1 3 2 -0.0177741898 -0.0068306335 2415
1 3 3 -0.0068306335 0.0041129228 913
1 3 4 0.0041129228 0.0150564791 77
1 3 5 0.0150564791 0.0260000354 65
1 3 6 0.0260000354 0.0369435917 30
1 3 7 0.0369435917 0.0478871480 23
1 3 8 0.0478871480 0.0588307043 11
1 3 9 0.0588307043 0.0697742606 9
1 3 10 0.0697742606 0.0807178169 3
1 3 11 0.0807178169 0.0916613732 1
1 3 12 0.0916613732 0.1026049295 1
1 4 0 -0.1125425976 -0.0914410034 60
1 4 1 -0.0914410034 -0.0703394092 375
1 4 2 -0.0703394092 -0.0492378150 964
1 4 3 -0.0492378150 -0.0281362208 1606
1 4 4 -0.0281362208 -0.0070346266 941
1 4 5 -0.0070346266 0.0140669676 76
1 4 6 0.0140669676 0.0351685618 7
1 4 7 0.0351685618 0.0562701560 1
1 5 0 -0.1321138430 -0.1092636955 28
1 5 1 -0.1092636955 -0.0864135480 125
1 5 2 -0.0864135480 -0.0635634005 499
1 5 3 -0.0635634005 -0.0407132530 1006
1 5 4 -0.0407132530 -0.0178631055 1721
1 5 5 -0.0178631055 0.0049870420 629
1 5 6 0.0049870420 0.0278371895 18
1 5 7 0.0278371895 0.0506873370 4
1 6 0 -0.0901751455 -0.0722881624 58
1 6 1 -0.0722881624 -0.0544011793 198
1 6 2 -0.0544011793 -0.0365141962 744
