inputId Score
9046 4300.7767
9047 4201.3155
9052 1615.5556
9058 4324.1495
9063 4225.0554
9064 4324.1495
9066 4391.4680
9072 789.3151
9075 4354.3329
9077 644.6281
9083 2034.1813
9086 4327.0139
9087 4324.1495
9092 4235.2932
9094 4297.2191
9097 4236.2565
9100 4269.3246
9103 476.6955
9107 4324.1495
9123 4327.0139
9125 4181.0593
9129 4356.5093
9131 4324.1495
9133 4327.0139
9136 4071.0691
9141 4355.0863
9144 437.9962
9147 4327.0139
9151 4196.9961
9152 4199.5699
9153 4268.6793
9156 4356.7532
9157 291.5574
9162 4359.6176
9171 4030.2447
9179 4324.1495
9185 4355.9999
9188 275.5637
9189 4327.0139
9190 856.5798
9193 4267.7560
9195 4320.1385
9198 4324.1495
9199 4325.5013
9200 4327.0139
9201 4356.7532
9214 4356.5093
9216 4324.1495
9220 4325.9282
9222 4267.6247
9223 4359.6176
9226 147.3848
9235 4327.0139
9241 4387.6187
9243 1765.9406
9246 4420.9634
9247 2783.0545
9251 4324.1495
9252 1505.9072
9261 4388.3597
9263 4332.6270
9265 4388.6036
9266 4391.4680
9267 4420.9634
9276 4327.0139
9277 4391.4680
9285 4237.1538
9287 4031.9116
9289 3852.4800
9290 4356.5093
9291 4388.6036
9292 4359.6176
9293 2028.9695
9296 4203.0886
9299 4328.5701
9301 4359.6176
9306 4420.9634
9312 4265.0782
9316 4391.4680
9326 458.3880
9327 4358.8643
9328 4388.6036
9332 4328.4324
9336 835.4230
9339 4267.5820
9341 4355.9999
9343 4322.4826
9348 4354.3329
9350 4420.9634
9355 287.9531
9357 4391.4680
9360 4324.1495
9361 4167.1952
9362 4269.8354
9367 128.6631
9369 4327.0139
9371 4388.3597
9373 4290.7201
9378 4324.1495
9381 4356.5093
9382 4324.1495
9383 4354.3329
9389 143.9339
9391 3728.6639
9395 4391.4680
9400 148.5493
9402 141.2323
9406 4327.0139
9407 4327.0139
9412 3296.2576
9414 4356.7532
9415 3023.3309
9416 4324.1495
9417 4324.1495
9419 4231.8027
9421 193.8106
9422 3779.9631
9427 4324.1495
9428 4330.5160
9429 4297.9123
9443 4297.9123
9455 4324.1495
9457 4356.7532
9460 1303.9529
9462 4297.9123
9464 4389.1130
9466 4356.5093
9470 4234.8340
9472 4356.7532
9473 2792.9269
9475 4030.2447
9476 4356.5093
9478 3192.1306
9480 1028.6788
9481 4388.6036
9482 3652.6553
9487 4359.6176
9495 3916.4539
9496 4359.6176
9499 4128.5978
9500 4354.3329
9502 4355.9999
9503 4297.9123
9508 4356.5093
9509 4125.4413
9513 4324.1495
9519 4327.0139
9522 130.9798
9524 4356.7532
9527 181.0309
9529 1235.7232
9531 4324.1495
9533 1138.8922
9535 4329.1527
9538 4354.3329
9539 4356.5093
9540 371.0846
9543 4355.9999
9546 4355.0863
9547 1266.7656
9550 4270.0656
9553 221.3551
9555 3557.1822
9556 2964.0527
9558 4089.2376
9563 145.0458
9564 4324.1495
9566 3967.5199
9567 4356.7532
9578 4359.6176
9583 3933.1009
9586 4297.2191
9589 3816.9183
9592 4324.1495
9593 4359.6176
9598 143.6233
9600 4420.9634
9604 3756.4310
9607 4327.0139
9610 4388.3597
9612 4299.3159
9614 4270.5764
9615 3600.1808
9618 4295.5522
9622 4391.4680
9623 4388.6036
9628 4359.6176
9629 4231.5317
9630 4237.1538
9633 4355.9999
9635 4207.7954
9640 4237.1939
9641 4324.1495
9642 1505.0911
9644 4324.1495
9651 4295.9664
9652 2907.2191
9654 4386.9367
9664 3995.9196
9665 4327.0139
9668 4356.7532
9670 4388.6036
9671 3816.9554
9673 4288.3760
9675 4355.9999
9676 4420.9634
9682 4322.4826
9685 4010.6419
9688 4391.4680
9689 4391.4680
9690 4420.9634
9691 4327.0139
9692 267.0790
9694 4359.6176
9696 4293.6918
9705 4258.8453
9708 3066.1802
9709 4420.9634
9713 4327.0139
9714 4295.2721
9715 4391.4680
9716 3585.5946
9717 4391.4680
9718 349.6665
9719 4359.6176
9720 4019.4950
9722 4233.5935
9723 4321.8055
9724 4355.9999
9728 4255.1756
9729 4166.4460
9732 4358.8643
9738 4139.2107
9739 273.5921
9742 4356.5093
9744 4271.6750
9747 4359.6176
9753 4355.9999
9766 4327.0139
9767 4389.1130
9770 4327.0139
9772 4322.4826
9773 4391.4680
9774 4359.6176
9781 4300.7767
9784 4327.0139
9791 4420.9634
9793 4288.3760
9794 322.1688
9795 4231.7268
9798 875.1719
9802 4386.9367
9810 3593.3631
9813 4322.4826
9827 4356.7532
9834 4355.9999
9835 4391.4680
9838 4297.9123
9842 309.1677
9849 4299.6781
9850 4359.7720
9851 4288.3760
9855 190.9639
9857 4324.1495
9861 2515.4906
9866 4324.1495
9870 4327.0139
9877 4176.2484
9880 1185.7462
9882 4330.5160
9886 4327.0139
9892 2547.2575
9895 4296.8137
9897 2801.2344
9901 4304.2787
9904 4354.3329
9908 4296.0727
9910 4327.0139
9912 4388.6036
9913 4299.6781
9914 4358.3857
9915 4356.7532
9916 1999.2804
9917 4327.0139
9918 4358.8643
9927 4202.7087
9930 4358.8643
9933 4324.1495
9934 4354.3329
9938 3920.4370
9939 143.7747
9940 4327.0139
9942 4356.7532
9946 4183.4631
9948 4324.1495
9951 4061.0697
9963 4355.0863
9964 4144.3225
9967 1934.4085
9973 4359.6176
9974 906.6842
9975 4327.0139
9979 1342.0424
9981 4298.4326
9984 4420.9634
9988 4272.3422
10003 4388.3597
10014 4326.2730
10016 1186.9159
10017 1451.6077
10019 4296.5249
10020 4330.5160
10023 4355.9999
10025 4327.0139
10026 4327.0139
10027 4327.0139
10030 4391.4680
10032 4358.3857
10033 4268.3656
10035 1178.7985
10037 4176.2442
10042 4300.7767
10043 2861.3424
10047 4324.1495
10053 4358.8643
10055 4388.3597
10056 2511.0248
10057 4300.7767
10058 137.6727
10059 4355.9999
10061 317.2899
10062 4420.9634
10067 4356.7532
10070 4388.6036
10072 4359.1267
10073 4296.2453
10078 4297.1713
10081 4265.3831
10082 4270.5764
10091 4359.6176
10099 4290.7201
10101 4327.0139
