inputId Score
9046 158.6024
9047 145.4138
9052 196.1030
9058 150.9505
9063 146.8728
9064 146.8122
9066 190.1906
9072 236.5480
9075 208.0671
9077 270.0606
9083 201.5070
9086 154.0227
9087 145.0871
9092 146.0081
9094 149.8340
9097 145.6383
9100 147.5226
9103 255.7638
9107 146.2328
9123 150.9995
9125 149.1598
9129 149.8178
9131 144.6583
9133 152.6810
9136 145.5330
9141 193.4455
9144 304.5412
9147 180.9824
9151 148.5952
9152 145.9683
9153 144.4314
9156 159.0527
9157 301.6381
9162 170.5100
9171 150.8158
9179 153.3685
9185 173.7861
9188 286.8296
9189 169.4020
9190 264.7686
9193 146.0478
9195 147.1837
9198 145.0387
9199 174.3876
9200 150.4161
9201 153.4967
9214 239.0515
9216 153.3914
9220 172.9719
9222 148.7709
9223 169.9804
9226 1025.8995
9235 151.2358
9241 227.9223
9243 192.9519
9246 464.8245
9247 172.8923
9251 149.4507
9252 215.4934
9261 276.7031
9263 193.8578
9265 232.0185
9266 192.2971
9267 231.0308
9276 182.6068
9277 253.2386
9285 145.4243
9287 150.8473
9289 152.1113
9290 162.0499
9291 195.3057
9292 167.1189
9293 187.5913
9296 148.5896
9299 145.0001
9301 152.7531
9306 411.0659
9312 144.8885
9316 327.9823
9326 321.2203
9327 157.7451
9328 162.4206
9332 159.9595
9336 236.8144
9339 148.5449
9341 161.0695
9343 168.1889
9348 228.4316
9350 298.4117
9355 4105.0597
9357 252.6917
9360 146.0504
9361 150.6759
9362 148.0708
9367 1346.8998
9369 150.1633
9371 327.1704
9373 162.5420
9378 148.5060
9381 218.6119
9382 148.2802
9383 166.5225
9389 2147.9767
9391 156.6555
9395 232.4845
9400 912.4834
9402 1667.9201
9406 184.6971
9407 186.9994
9412 167.3033
9414 150.3274
9415 171.1950
9416 162.2602
9417 168.0385
9419 147.4933
9421 699.7814
9422 159.1203
9427 147.9388
9428 158.4840
9429 144.7365
9443 145.2752
9455 156.9319
9457 162.2412
9460 201.4823
9462 143.5536
9464 255.8622
9466 174.4693
9470 145.5183
9472 148.9484
9473 181.2202
9475 150.8473
9476 152.5376
9478 175.5154
9480 222.3382
9481 177.5906
9482 163.6068
9487 170.5100
9495 150.6340
9496 164.5945
9499 147.2732
9500 331.8066
9502 150.3487
9503 147.3300
9508 210.6555
9509 149.9072
9513 151.0215
9519 148.8975
9522 1111.6060
9524 149.8231
9527 3732.2348
9529 213.8054
9531 149.9145
9533 214.4117
9535 219.8351
9538 195.6997
9539 166.8080
9540 269.7098
9543 239.7956
9546 209.2565
9547 207.1595
9550 143.3732
9553 371.7556
