inputId,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,30,management,married,tertiary,0,944,0,0,cellular,29,oct,251,2,-1,0,unknown,1
1,69,housemaid,married,primary,0,1080,0,0,cellular,18,aug,197,2,118,2,failure,0
2,46,technician,single,secondary,0,3494,1,0,unknown,20,jun,87,1,-1,0,unknown,0
3,31,management,single,tertiary,0,391,1,0,cellular,12,aug,454,3,-1,0,unknown,0
4,37,technician,single,secondary,0,435,1,0,unknown,26,may,210,1,-1,0,unknown,0
5,41,technician,married,secondary,0,64,1,1,unknown,8,may,210,2,-1,0,unknown,0
6,37,management,divorced,tertiary,0,0,1,0,cellular,6,aug,99,5,-1,0,unknown,0
7,30,management,single,tertiary,0,0,0,0,cellular,7,jul,240,1,-1,0,unknown,0
8,52,technician,divorced,secondary,0,225,0,0,cellular,21,aug,58,2,-1,0,unknown,0
9,40,blue-collar,married,primary,0,-234,1,0,cellular,6,may,275,1,-1,0,unknown,0
10,33,management,married,tertiary,0,296,0,0,cellular,16,jul,90,2,-1,0,unknown,0
11,30,services,single,secondary,0,581,1,0,cellular,15,may,267,1,354,1,other,0
12,37,technician,married,secondary,0,275,1,0,unknown,5,may,132,1,-1,0,unknown,0
13,40,technician,single,secondary,0,374,1,1,cellular,11,may,274,1,-1,0,unknown,0
14,39,management,married,tertiary,0,24,0,0,cellular,1,oct,199,1,-1,0,unknown,0
15,42,admin.,single,tertiary,0,473,1,0,cellular,6,apr,494,1,-1,0,unknown,0
16,37,admin.,married,secondary,0,525,1,0,unknown,23,may,425,1,-1,0,unknown,0
17,42,services,single,secondary,0,247,1,0,cellular,31,jul,114,2,-1,0,unknown,0
18,35,blue-collar,married,secondary,0,1209,1,0,unknown,26,may,304,3,-1,0,unknown,0
19,43,management,divorced,tertiary,0,3820,0,0,cellular,19,aug,86,5,-1,0,unknown,0
20,32,technician,married,secondary,0,2556,0,0,cellular,6,aug,269,3,-1,0,unknown,0
