inputId,age,age_cat,c_charge_degree,c_charge_desc,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race,sex,race-name,two_year_recid
0,33,25 - 45,0,Offer Agree Secure For Lewd Act,0,0,0,0,1,0,Caucasian,0
1,47,Greater than 45,1,Felony Committing Prostitution,0,0,0,28,1,0,Caucasian,1
2,34,25 - 45,1,Driving While License Revoked,0,0,0,22,0,1,African-American,0
3,40,25 - 45,1,Felony Battery,0,0,0,21,0,1,African-American,0
4,32,25 - 45,1,Felony Driving While Lic Suspd,0,0,0,0,0,0,African-American,0
5,29,25 - 45,1,Possession of Cocaine,0,0,0,4,1,1,Caucasian,0
6,26,25 - 45,1,Grand Theft (Motor Vehicle),0,0,0,1,0,1,African-American,0
7,41,25 - 45,0,arrest case no charge,0,0,0,7,0,1,African-American,0
8,25,25 - 45,0,Battery,0,0,0,0,0,1,African-American,1
9,29,25 - 45,1,Poss Pyrrolidinovalerophenone,0,1,1,8,0,1,African-American,1
10,25,25 - 45,1,Aggravated Assault W/Dead Weap,0,0,0,0,0,0,Other,0
11,49,Greater than 45,1,Felony Battery (Dom Strang),0,0,0,1,0,1,African-American,0
12,37,25 - 45,1,Cruelty Toward Child,0,0,0,0,1,1,Caucasian,1
13,32,25 - 45,1,Tamper With Witness/Victim/CI,0,0,0,1,1,0,Caucasian,0
14,30,25 - 45,1,Carrying Concealed Firearm,0,0,1,3,0,1,African-American,0
15,34,25 - 45,1,Grand Theft in the 3rd Degree,0,0,0,14,0,1,Hispanic,1
16,36,25 - 45,1,arrest case no charge,0,0,0,4,0,0,African-American,0
17,20,Less than 25,1,Burglary Conveyance Unoccup,0,1,1,1,0,1,African-American,1
18,27,25 - 45,1,Poss Pyrrolidinovalerophenone,0,0,0,4,0,1,African-American,1
19,48,Greater than 45,0,Felony Battery (Dom Strang),0,0,0,0,0,1,African-American,0
20,19,Less than 25,1,Poss Pyrrolidinovalerophenone,0,2,0,2,0,1,African-American,1
21,28,25 - 45,0,Battery,0,0,0,1,1,0,Caucasian,1
22,30,25 - 45,1,arrest case no charge,0,0,0,11,0,1,African-American,1
23,21,Less than 25,1,Possession of Cocaine,0,0,0,0,0,1,Other,1
24,46,Greater than 45,1,Driving While License Revoked,0,0,0,0,0,1,African-American,0
25,26,25 - 45,0,Battery,0,0,0,0,1,1,Caucasian,0
26,27,25 - 45,1,Possession of Cocaine,0,0,0,3,0,1,African-American,1
27,24,Less than 25,0,Battery,0,0,0,1,0,1,African-American,1
28,30,25 - 45,0,Battery,0,0,0,4,0,1,African-American,1
29,30,25 - 45,1,Tampering with a Victim,0,1,1,3,1,1,Caucasian,0
30,30,25 - 45,0,Battery,0,0,0,0,0,1,Hispanic,0
31,34,25 - 45,0,Battery,0,0,0,0,0,0,African-American,1
32,27,25 - 45,0,Expired DL More Than 6 Months,0,0,0,1,0,1,Hispanic,0
33,27,25 - 45,0,Battery,0,0,0,0,0,1,African-American,0
34,31,25 - 45,0,DUI Property Damage/Injury,0,0,0,2,1,1,Caucasian,0
35,26,25 - 45,0,arrest case no charge,0,1,0,3,0,1,African-American,1
