inputId,age,age_cat,c_charge_degree,c_charge_desc,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race,sex,race-name,two_year_recid
0,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,0,African-American,1
1,34,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,0,0,African-American,1
2,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
3,35,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,3,1,1,Asian,1
4,35,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,0,African-American,1
5,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,3,1,1,African-American,1
6,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
7,37,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
8,40,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
9,38,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,African-American,1
10,33,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,0,African-American,1
11,31,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
12,34,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,2,1,1,Asian,1
13,34,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,0,African-American,1
14,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
15,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
16,35,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,3,1,0,African-American,1
17,32,Greater than 45,1,Possession Of Amphetamine,1,1,0,2,0,1,African-American,1
18,37,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,African-American,1
19,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
20,33,Greater than 45,0,Possession Of Amphetamine,1,2,0,2,0,1,African-American,1
21,39,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,2,0,0,Asian,1
22,37,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
23,35,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,African-American,1
24,31,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
25,38,Greater than 45,1,Conspiracy Dealing Stolen Prop,1,2,0,3,0,1,African-American,1
26,38,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,1,1,Asian,1
27,36,Greater than 45,1,Possession Of Amphetamine,1,2,0,2,0,1,African-American,1
28,40,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
29,35,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
30,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,3,0,1,African-American,1
31,39,Greater than 45,1,DWLS Susp/Cancel Revoked,1,3,0,2,0,0,African-American,1
32,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
33,38,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,3,0,1,Asian,1
34,38,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
35,39,Greater than 45,1,DWLS Susp/Cancel Revoked,0,2,0,1,0,1,Asian,1
36,36,Greater than 45,1,Poss Wep Conv Felon,1,2,0,2,1,1,Asian,1
37,35,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,2,0,1,African-American,1
38,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,1,1,1,Asian,1
39,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,0,Asian,1
40,35,Greater than 45,1,Conspiracy Dealing Stolen Prop,1,2,0,3,0,1,African-American,1
41,33,Greater than 45,1,DWLS Susp/Cancel Revoked,0,2,0,2,1,1,African-American,1
42,35,Greater than 45,1,Delivery Of Drug Paraphernalia,1,2,0,2,0,1,African-American,1
43,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
44,39,Greater than 45,1,Conspiracy Dealing Stolen Prop,1,3,0,3,0,1,African-American,1
45,31,Greater than 45,0,Aggravated Battery,1,1,0,3,1,0,African-American,1
46,32,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,2,0,1,African-American,1
47,33,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,2,0,1,African-American,1
48,39,Greater than 45,1,Conspiracy Dealing Stolen Prop,1,2,0,3,0,0,African-American,1
49,33,Greater than 45,0,Possession Of Amphetamine,1,2,0,2,1,0,African-American,1
50,35,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,2,0,1,African-American,1
51,35,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
52,37,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,African-American,1
53,31,Greater than 45,1,Possession Of Amphetamine,1,1,0,2,0,1,African-American,1
54,40,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
55,35,Greater than 45,1,DWLS Susp/Cancel Revoked,0,2,0,1,0,1,Asian,1
56,38,Greater than 45,1,DWLS Susp/Cancel Revoked,1,3,0,2,0,0,African-American,1
57,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
58,33,Greater than 45,0,Possession Of Amphetamine,1,1,0,2,1,1,African-American,1
59,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
60,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
61,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
62,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
63,40,Greater than 45,1,DWLS Susp/Cancel Revoked,1,3,0,1,0,1,Asian,1
64,39,Greater than 45,1,DWLS Susp/Cancel Revoked,1,3,0,3,0,1,Asian,1
65,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
66,32,Greater than 45,1,Possession Of Amphetamine,0,2,0,2,0,1,African-American,1
67,39,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
68,35,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,2,0,1,African-American,1
69,31,Greater than 45,0,Possession Of Amphetamine,1,2,0,2,0,0,African-American,1
70,38,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
71,39,Greater than 45,1,Conspiracy Dealing Stolen Prop,1,3,0,3,0,1,African-American,1
72,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
73,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,0,African-American,1
74,33,Greater than 45,1,Possession Of Amphetamine,1,2,0,2,0,1,African-American,1
75,37,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
76,34,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,African-American,1
77,37,Greater than 45,1,DWLS Susp/Cancel Revoked,1,3,0,2,0,1,Asian,1
78,37,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
79,33,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,3,1,1,African-American,1
80,40,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,3,0,2,0,1,Asian,1
81,35,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
82,37,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,3,0,1,Asian,1
83,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
84,37,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
85,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
86,34,Greater than 45,1,Delivery Of Drug Paraphernalia,1,2,0,2,0,1,Asian,1
87,34,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,3,1,1,African-American,1
88,36,Greater than 45,1,Conspiracy Dealing Stolen Prop,1,2,0,2,0,0,African-American,1
89,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
90,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,3,0,2,0,1,African-American,1
91,31,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,3,1,1,African-American,1
92,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
93,33,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,African-American,1
94,37,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
95,38,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
96,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
97,35,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
98,31,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
99,35,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
100,34,Greater than 45,1,Possession Of Amphetamine,0,2,0,1,0,1,Asian,1
101,37,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
102,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
103,38,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
104,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
105,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
106,34,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,1,1,Asian,1
107,35,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,3,1,1,African-American,1
108,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
109,34,Greater than 45,1,Possession Of Amphetamine,1,2,0,1,1,1,Asian,1
110,33,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,3,0,1,African-American,1
111,34,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,African-American,1
112,33,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
113,33,Greater than 45,1,Possession Of Amphetamine,1,2,0,2,0,1,African-American,1
114,35,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
115,38,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,Asian,1
116,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
117,36,Greater than 45,1,Possession Of Amphetamine,1,2,0,2,0,1,Asian,1
118,37,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,0,0,African-American,1
119,37,Greater than 45,1,DWLS Susp/Cancel Revoked,1,3,0,3,0,0,Asian,1
120,33,Greater than 45,0,Poss Cntrft Contr Sub w/Intent,1,2,0,3,1,0,African-American,1
121,34,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,3,0,1,African-American,1
122,35,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
123,34,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,2,1,1,African-American,1
124,35,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,3,0,1,African-American,1
125,38,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,1,1,1,Asian,1
126,30,Greater than 45,1,Possession Of Amphetamine,1,1,0,2,0,1,African-American,1
127,33,Greater than 45,0,Poss Cntrft Contr Sub w/Intent,1,2,0,3,1,0,African-American,1
128,37,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,2,0,1,African-American,1
129,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,2,0,1,African-American,1
130,36,Greater than 45,0,DWLS Susp/Cancel Revoked,1,2,0,3,0,1,African-American,1
131,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,3,1,1,African-American,1
132,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,Asian,1
133,35,Greater than 45,0,Possession Of Amphetamine,1,2,0,2,0,1,African-American,1
134,34,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,2,1,1,African-American,1
135,34,Greater than 45,1,DWLS Susp/Cancel Revoked,0,2,0,2,0,0,African-American,1
136,32,Greater than 45,1,DWLS Susp/Cancel Revoked,1,1,0,3,1,1,African-American,1
137,40,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,1,0,1,Asian,1
138,36,Greater than 45,1,DWLS Susp/Cancel Revoked,1,2,0,1,1,1,Asian,1
139,34,Greater than 45,0,Conspiracy Dealing Stolen Prop,1,2,0,3,0,1,African-American,1
