inputId,Age_in_years,Credit_amount,Credit_history,Duration_in_month,Housing,Installment_rate_in_percentage_of_disposable_income,Job,Number_of_existing_credits_at_this_bank,Number_of_people_being_liable_to_provide_maintenance_for,Other_installment_plans,Personal_status_and_sex,Present_employment_since,Present_residence_since,Property,Purpose,Savings_account_bonds,Status_of_existing_checking_account,Telephone,_Other_debtors_or_guarantors,foreign_worker,good_3_bad_2_customer,groups
0,1,5103,A34,24,A153,3,A173,3,1,A143,A94,A72,3,A124,A43,A61,A14,0,A101,A201,1,1
1,1,3349,A31,24,A153,4,A173,1,2,A143,A93,A72,4,A124,A42,A63,A11,0,A101,A201,0,1
2,1,701,A32,12,A152,4,A172,1,1,A143,A94,A73,2,A121,A43,A61,A11,1,A101,A201,1,1
3,1,2022,A34,24,A152,4,A173,1,1,A143,A92,A73,4,A123,A40,A61,A14,0,A101,A201,1,1
4,1,11816,A30,45,A151,2,A173,2,1,A143,A93,A75,4,A123,A49,A61,A11,1,A101,A201,0,1
5,1,1126,A32,9,A152,2,A173,1,1,A143,A91,A75,4,A121,A43,A62,A13,1,A101,A201,1,1
6,1,1323,A34,6,A152,2,A173,2,2,A143,A91,A75,4,A123,A40,A62,A13,0,A101,A201,1,1
7,1,12749,A33,48,A152,4,A174,1,1,A143,A93,A74,1,A123,A43,A63,A14,0,A101,A201,1,1
8,1,753,A32,6,A152,2,A173,1,1,A143,A92,A73,3,A121,A43,A61,A12,1,A103,A201,1,1
9,0,882,A34,13,A152,4,A173,2,1,A143,A93,A72,4,A121,A43,A61,A12,1,A103,A201,1,0
10,0,2718,A32,24,A151,3,A172,1,1,A143,A92,A73,4,A122,A40,A61,A12,0,A101,A201,0,0
11,1,709,A32,6,A152,2,A171,1,1,A143,A94,A72,2,A121,A40,A64,A13,1,A101,A202,1,1
12,1,3651,A32,12,A152,1,A173,1,2,A143,A93,A73,3,A122,A40,A64,A11,1,A101,A201,1,1
13,1,1755,A32,24,A152,4,A172,1,1,A143,A92,A75,4,A121,A410,A61,A11,0,A103,A201,1,1
14,1,2012,A34,12,A152,4,A173,1,1,A143,A92,A74,2,A123,A46,A65,A14,1,A101,A201,1,1
15,1,1525,A32,24,A152,4,A173,1,2,A143,A92,A74,3,A123,A40,A64,A14,0,A101,A201,1,1
16,1,1199,A32,9,A152,4,A174,2,1,A143,A92,A74,4,A122,A46,A61,A12,0,A101,A201,1,1
17,1,10366,A32,60,A152,2,A174,1,1,A143,A93,A75,4,A122,A40,A61,A14,0,A101,A201,1,1
18,1,2923,A32,21,A152,1,A174,1,1,A141,A92,A73,1,A123,A40,A62,A13,0,A101,A201,1,1
19,1,5998,A34,40,A152,4,A173,1,1,A141,A93,A73,3,A124,A46,A61,A11,0,A101,A201,0,1
