inputId,Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,_Other_debtors_or_guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,good_3_bad_2_customer,groups
0,A14,15,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
1,A14,10,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A151,2,A174,2,1,A201,1,1
2,A14,15,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A173,1,1,A201,1,1
3,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
4,A14,20,A32,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A151,2,A174,1,1,A201,1,1
5,A14,18,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
6,A14,16,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
7,A14,14,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
8,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
9,A14,20,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A173,2,1,A201,1,0
10,A14,14,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
11,A14,16,A34,A49,250,A63,A74,2,A93,A101,3,A122,1,A143,A152,2,A173,2,1,A201,1,1
12,A14,15,A34,A49,250,A63,A72,2,A91,A101,3,A122,1,A141,A152,2,A174,1,1,A201,1,1
13,A14,14,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
14,A14,17,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
15,A14,13,A31,A49,250,A61,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
16,A14,15,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
17,A14,16,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
18,A14,15,A34,A49,250,A62,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
19,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
20,A14,16,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A173,2,1,A201,1,0
21,A14,14,A31,A49,250,A63,A75,2,A94,A101,3,A123,1,A143,A152,2,A173,2,1,A201,1,1
22,A14,15,A31,A49,250,A63,A75,2,A91,A101,3,A123,0,A143,A152,2,A173,2,1,A201,1,0
23,A14,20,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
24,A14,16,A34,A49,250,A61,A74,2,A91,A101,3,A123,1,A143,A152,2,A174,2,1,A201,1,1
25,A14,19,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
26,A14,17,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A141,A151,2,A173,1,1,A201,1,1
27,A14,18,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
28,A14,21,A32,A49,250,A63,A74,2,A94,A101,3,A122,1,A141,A152,2,A173,1,1,A201,1,1
29,A14,19,A31,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,1,1,A201,1,0
30,A14,21,A31,A49,250,A63,A74,2,A91,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
31,A14,20,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,1,1,A201,1,0
32,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A141,A152,1,A173,1,1,A201,1,1
33,A14,13,A31,A49,250,A63,A74,2,A93,A101,3,A123,1,A143,A151,2,A173,1,1,A201,1,1
34,A14,15,A34,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A173,1,1,A201,1,1
35,A14,12,A34,A49,250,A63,A75,2,A93,A101,3,A122,1,A141,A151,2,A174,1,1,A201,1,1
36,A14,13,A31,A49,250,A63,A74,2,A94,A101,3,A123,1,A143,A152,2,A174,1,1,A201,1,1
37,A14,18,A34,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
38,A14,11,A34,A49,250,A63,A74,2,A91,A101,3,A123,1,A141,A152,2,A174,2,1,A201,1,1
39,A14,17,A34,A49,250,A63,A74,2,A91,A101,3,A123,0,A143,A152,2,A174,2,1,A201,1,0
40,A14,17,A31,A49,250,A63,A74,2,A91,A101,3,A122,1,A143,A152,2,A173,1,1,A201,1,1
41,A14,17,A34,A49,250,A63,A74,2,A94,A101,3,A122,1,A141,A152,2,A173,1,1,A201,1,1
42,A14,18,A31,A49,250,A63,A74,2,A94,A101,3,A122,1,A143,A151,2,A173,1,1,A201,1,1
