inputId,code_module,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,year,semester
0,AAA,1,East Anglian Region,3.0,90-100%,55<=,0,240,0,1,2013,J
1,AAA,0,Scotland,3.0,20-30%,35-55,0,60,0,1,2013,J
2,AAA,0,South East Region,2.0,50-60%,35-55,0,60,0,1,2013,J
3,AAA,0,West Midlands Region,1.0,50-60%,0-35,0,60,0,1,2013,J
4,AAA,1,Wales,2.0,80-90%,35-55,0,60,0,1,2013,J
5,AAA,1,Scotland,3.0,30-40%,0-35,0,60,0,1,2013,J
6,AAA,0,North Western Region,2.0,90-100%,0-35,0,120,0,1,2013,J
7,AAA,0,East Anglian Region,2.0,70-80%,0-35,0,90,0,1,2013,J
8,AAA,1,South Region,1.0,70-80%,35-55,0,60,0,1,2013,J
9,AAA,0,East Anglian Region,2.0,20-30%,0-35,0,60,0,1,2013,J
10,AAA,1,East Anglian Region,1.0,60-70%,35-55,0,60,0,1,2013,J
11,AAA,0,North Western Region,3.0,50-60%,0-35,0,60,0,1,2013,J
12,AAA,1,Scotland,1.0,40-50%,35-55,0,60,0,1,2013,J
13,AAA,0,West Midlands Region,2.0,60-70%,35-55,0,60,0,1,2013,J
14,AAA,1,East Anglian Region,2.0,10-20%,35-55,0,150,0,0,2013,J
15,AAA,1,South West Region,2.0,30-40%,35-55,0,60,0,1,2013,J
16,AAA,1,East Midlands Region,2.0,30-40%,0-35,0,60,0,1,2013,J
17,AAA,1,North Western Region,3.0,0-10%,0-35,0,60,0,1,2013,J
18,AAA,1,Wales,1.0,70-80%,35-55,0,60,0,1,2013,J
19,AAA,1,Yorkshire Region,2.0,20-30%,0-35,0,60,0,1,2013,J
20,AAA,1,South Region,1.0,80-90%,35-55,0,60,0,1,2013,J
21,AAA,1,North Western Region,2.0,30-40%,0-35,0,60,0,1,2013,J
22,AAA,1,London Region,3.0,60-70%,0-35,0,60,0,1,2013,J
23,AAA,1,East Midlands Region,1.0,20-30%,0-35,0,60,0,1,2013,J
24,AAA,1,East Anglian Region,3.0,80-90%,35-55,0,60,0,1,2013,J
25,AAA,0,East Anglian Region,3.0,90-100%,35-55,0,60,0,1,2013,J
26,AAA,1,Yorkshire Region,1.0,60-70%,35-55,0,60,0,1,2013,J
27,AAA,1,Yorkshire Region,3.0,60-70%,35-55,0,60,0,1,2013,J
28,AAA,1,Wales,3.0,0-10%,0-35,0,60,0,1,2013,J
29,AAA,1,East Anglian Region,2.0,70-80%,35-55,0,60,0,1,2013,J
30,AAA,1,East Midlands Region,3.0,30-40%,0-35,0,120,0,1,2013,J
31,AAA,1,South Region,2.0,40-50%,35-55,0,60,0,1,2013,J
32,AAA,0,East Midlands Region,2.0,40-50%,0-35,0,180,0,1,2013,J
33,AAA,0,East Anglian Region,1.0,80-90%,35-55,0,120,0,1,2013,J
34,AAA,0,South East Region,2.0,90-100%,35-55,0,60,0,1,2013,J
35,AAA,1,South West Region,2.0,40-50%,35-55,0,60,0,1,2013,J
36,AAA,0,East Midlands Region,2.0,30-40%,0-35,0,240,0,1,2013,J
37,AAA,0,North Region,2.0,50-60%,35-55,0,60,0,1,2013,J
38,AAA,0,South Region,3.0,80-90%,35-55,0,60,0,1,2013,J
39,AAA,1,South West Region,3.0,60-70%,0-35,0,120,0,1,2013,J
40,AAA,0,West Midlands Region,2.0,20-30%,0-35,0,60,1,0,2013,J
41,AAA,1,North Region,1.0,60-70%,0-35,0,120,0,0,2013,J
42,AAA,0,London Region,2.0,80-90%,0-35,0,150,0,1,2013,J
43,AAA,1,London Region,2.0,0-10%,35-55,0,420,0,1,2013,J
44,AAA,0,East Midlands Region,2.0,20-30%,35-55,0,60,0,1,2013,J
45,AAA,0,South West Region,2.0,90-100%,0-35,0,60,0,1,2013,J
46,AAA,1,Scotland,2.0,70-80%,0-35,0,60,0,1,2013,J
47,AAA,0,Yorkshire Region,2.0,40-50%,35-55,0,60,0,1,2013,J
48,AAA,0,West Midlands Region,1.0,10-20%,35-55,0,60,0,1,2013,J
49,AAA,1,East Anglian Region,3.0,90-100%,55<=,0,60,0,1,2013,J
50,AAA,1,North Western Region,3.0,70-80%,35-55,0,60,0,1,2013,J
51,AAA,0,North Western Region,2.0,80-90%,0-35,0,180,0,0,2013,J
52,AAA,1,South West Region,2.0,30-40%,0-35,0,120,0,1,2013,J
53,AAA,0,South West Region,2.0,60-70%,0-35,0,60,0,1,2013,J
54,AAA,1,London Region,2.0,10-20%,0-35,0,180,0,1,2013,J
55,AAA,1,South West Region,3.0,80-90%,35-55,0,170,0,1,2013,J
56,AAA,1,London Region,3.0,10-20%,0-35,0,120,0,0,2013,J
57,AAA,1,Scotland,3.0,30-40%,35-55,0,60,0,1,2013,J
58,AAA,1,South East Region,2.0,50-60%,35-55,0,60,0,1,2013,J
59,AAA,1,Scotland,2.0,90-100%,0-35,0,120,0,1,2013,J
60,AAA,0,South West Region,1.0,90-100%,0-35,0,60,0,1,2013,J
61,AAA,1,London Region,1.0,50-60%,35-55,0,60,0,1,2013,J
62,AAA,1,South West Region,3.0,80-90%,35-55,0,60,0,1,2013,J
63,AAA,1,East Anglian Region,2.0,40-50%,0-35,0,90,1,0,2013,J
64,AAA,0,London Region,2.0,10-20%,35-55,0,60,0,1,2013,J
65,AAA,1,London Region,3.0,60-70%,0-35,0,60,0,1,2013,J
66,AAA,1,East Midlands Region,1.0,50-60%,0-35,0,60,0,1,2013,J
67,AAA,1,West Midlands Region,2.0,20-30%,0-35,0,60,0,1,2013,J
68,AAA,1,East Midlands Region,2.0,50-60%,0-35,0,60,0,1,2013,J
69,AAA,1,London Region,2.0,40-50%,0-35,0,240,0,1,2013,J
70,AAA,1,Scotland,4.0,90-100%,0-35,0,60,0,1,2013,J
71,AAA,1,South Region,3.0,90-100%,55<=,0,60,0,1,2013,J
72,AAA,1,London Region,3.0,80-90%,0-35,0,80,0,1,2013,J
73,AAA,1,South Region,2.0,90-100%,0-35,0,120,0,1,2013,J
74,AAA,1,East Anglian Region,3.0,90-100%,35-55,0,60,0,1,2013,J
75,AAA,0,East Midlands Region,3.0,60-70%,35-55,0,60,0,0,2013,J
76,AAA,1,London Region,3.0,20-30%,35-55,0,60,0,1,2013,J
77,AAA,1,South West Region,2.0,90-100%,35-55,0,60,0,1,2013,J
78,AAA,1,North Western Region,1.0,20-30%,0-35,0,90,0,1,2013,J
79,AAA,1,Wales,1.0,20-30%,35-55,0,60,0,1,2013,J
80,AAA,1,North Western Region,3.0,10-20%,0-35,0,120,0,1,2013,J
81,AAA,0,West Midlands Region,1.0,30-40%,0-35,0,60,0,1,2013,J
82,AAA,0,East Anglian Region,1.0,70-80%,35-55,0,60,0,1,2013,J
83,AAA,1,East Midlands Region,2.0,20-30%,35-55,0,60,0,1,2013,J
84,AAA,0,North Western Region,2.0,30-40%,35-55,0,60,0,1,2013,J
85,AAA,1,East Anglian Region,2.0,10-20%,35-55,0,90,0,0,2013,J
86,AAA,1,Scotland,2.0,80-90%,35-55,0,60,0,1,2013,J
87,AAA,1,London Region,1.0,40-50%,0-35,0,60,0,1,2013,J
88,AAA,0,Scotland,2.0,30-40%,0-35,0,150,0,1,2013,J
89,AAA,1,Wales,1.0,70-80%,35-55,0,60,0,0,2013,J
90,AAA,1,North Western Region,3.0,30-40%,0-35,0,60,0,0,2013,J
91,AAA,1,South West Region,2.0,30-40%,35-55,0,60,0,1,2013,J
92,AAA,1,South East Region,2.0,90-100%,35-55,0,60,0,1,2013,J
93,AAA,1,East Anglian Region,2.0,90-100%,0-35,0,120,0,1,2013,J
94,AAA,1,Wales,2.0,20-30%,0-35,0,60,0,1,2013,J
95,AAA,1,North Western Region,2.0,30-40%,0-35,0,60,0,1,2013,J
96,AAA,1,South East Region,2.0,90-100%,35-55,0,60,0,1,2013,J
97,AAA,1,East Midlands Region,2.0,70-80%,0-35,0,120,0,1,2013,J
98,AAA,1,South East Region,3.0,90-100%,55<=,0,60,0,1,2013,J
99,AAA,1,South East Region,2.0,90-100%,0-35,0,60,0,1,2013,J
100,AAA,1,South East Region,2.0,40-50%,35-55,0,240,0,0,2013,J
101,AAA,1,South Region,4.0,90-100%,55<=,0,60,0,1,2013,J
102,AAA,0,South East Region,3.0,80-90%,0-35,0,60,0,1,2013,J
103,AAA,1,West Midlands Region,2.0,30-40%,35-55,0,60,0,1,2013,J
104,AAA,0,East Anglian Region,2.0,40-50%,0-35,0,60,0,0,2013,J
105,AAA,1,North Western Region,2.0,70-80%,0-35,0,60,0,0,2013,J
106,AAA,1,West Midlands Region,2.0,70-80%,0-35,0,120,1,1,2013,J
107,AAA,1,West Midlands Region,2.0,50-60%,35-55,0,120,0,1,2013,J
108,AAA,1,East Anglian Region,2.0,90-100%,35-55,0,60,0,1,2013,J
109,AAA,0,London Region,2.0,10-20%,0-35,0,60,0,1,2013,J
110,AAA,0,East Midlands Region,3.0,10-20%,0-35,0,60,0,1,2013,J
111,AAA,1,West Midlands Region,2.0,70-80%,0-35,0,60,0,1,2013,J
112,AAA,1,South West Region,2.0,60-70%,55<=,0,120,0,1,2013,J
113,AAA,1,South Region,4.0,90-100%,55<=,0,60,0,1,2013,J
114,AAA,1,South Region,2.0,90-100%,0-35,0,60,0,1,2013,J
115,AAA,0,East Anglian Region,3.0,80-90%,0-35,0,120,0,1,2013,J
116,AAA,0,East Midlands Region,2.0,50-60%,0-35,0,60,0,1,2013,J
117,AAA,1,South Region,3.0,90-100%,55<=,0,60,0,1,2013,J
118,AAA,1,East Anglian Region,3.0,40-50%,35-55,0,60,0,1,2013,J
119,AAA,0,South West Region,2.0,10-20%,35-55,0,60,0,1,2013,J
120,AAA,1,South East Region,2.0,90-100%,0-35,0,120,0,1,2013,J
121,AAA,0,East Anglian Region,2.0,60-70%,35-55,0,60,0,1,2013,J
122,AAA,1,Scotland,2.0,20-30%,0-35,0,120,0,1,2013,J
123,AAA,1,Scotland,3.0,80-90%,0-35,0,60,0,1,2013,J
124,AAA,0,London Region,2.0,50-60%,0-35,0,150,0,0,2013,J
125,AAA,1,East Anglian Region,2.0,90-100%,0-35,0,120,0,1,2013,J
126,AAA,1,North Region,2.0,80-90%,0-35,0,60,0,1,2013,J
127,AAA,1,East Anglian Region,1.0,40-50%,0-35,0,180,0,0,2013,J
128,AAA,1,Scotland,1.0,50-60%,55<=,0,60,0,1,2013,J
129,AAA,1,Yorkshire Region,3.0,0-10%,0-35,0,60,0,1,2013,J
130,AAA,1,Ireland,3.0,70-80%,35-55,0,120,0,1,2013,J
131,AAA,1,Yorkshire Region,2.0,10-20%,0-35,0,60,0,0,2013,J
132,AAA,1,East Anglian Region,2.0,60-70%,0-35,0,180,1,1,2013,J
133,AAA,1,Yorkshire Region,2.0,30-40%,0-35,0,60,0,1,2013,J
134,AAA,1,East Anglian Region,2.0,50-60%,0-35,0,120,0,1,2013,J
135,AAA,0,Scotland,3.0,50-60%,35-55,0,120,0,0,2013,J
136,AAA,1,North Western Region,3.0,80-90%,35-55,0,60,0,1,2013,J
137,AAA,1,Yorkshire Region,2.0,10-20%,0-35,0,60,0,0,2013,J
138,AAA,1,East Anglian Region,1.0,70-80%,35-55,0,60,0,0,2013,J
139,AAA,0,London Region,2.0,0-10%,0-35,0,120,0,1,2013,J
140,AAA,1,East Anglian Region,1.0,10-20%,35-55,0,60,0,1,2013,J
141,AAA,1,South West Region,3.0,40-50%,0-35,0,60,0,1,2013,J
142,AAA,0,South West Region,2.0,50-60%,0-35,0,120,1,1,2013,J
143,AAA,1,Wales,3.0,50-60%,35-55,0,120,0,0,2013,J
144,AAA,1,Yorkshire Region,1.0,0-10%,0-35,0,180,0,1,2013,J
145,AAA,0,South Region,2.0,80-90%,35-55,0,60,0,1,2013,J
146,AAA,1,East Midlands Region,2.0,80-90%,0-35,0,60,0,1,2013,J
147,AAA,1,Yorkshire Region,2.0,90-100%,0-35,0,120,0,1,2013,J
148,AAA,1,Yorkshire Region,2.0,70-80%,0-35,0,120,0,1,2013,J
149,AAA,0,London Region,1.0,80-90%,35-55,0,60,0,1,2013,J
150,AAA,1,South West Region,2.0,90-100%,35-55,0,60,0,1,2013,J
151,AAA,1,West Midlands Region,2.0,70-80%,0-35,0,120,0,0,2013,J
152,AAA,0,North Western Region,2.0,50-60%,35-55,0,120,0,1,2013,J
153,AAA,1,North Western Region,2.0,60-70%,0-35,0,60,0,1,2013,J
154,AAA,1,Yorkshire Region,3.0,50-60%,0-35,0,180,0,1,2013,J
155,AAA,1,Yorkshire Region,1.0,90-100%,0-35,0,240,0,0,2013,J
156,AAA,0,South East Region,1.0,80-90%,0-35,0,60,0,1,2013,J
157,AAA,1,South West Region,1.0,50-60%,35-55,0,60,0,1,2013,J
158,AAA,1,Wales,1.0,20-30%,35-55,0,120,0,1,2013,J
159,AAA,1,North Region,2.0,20-30%,0-35,0,120,0,1,2013,J
160,AAA,1,Yorkshire Region,2.0,50-60%,0-35,0,120,0,1,2013,J
161,AAA,1,Scotland,2.0,40-50%,0-35,0,60,1,0,2013,J
162,AAA,0,North Western Region,2.0,70-80%,0-35,0,60,0,1,2013,J
163,AAA,0,South East Region,2.0,70-80%,0-35,0,150,0,1,2013,J
164,AAA,1,London Region,2.0,20-30%,0-35,0,120,0,1,2013,J
165,AAA,1,London Region,3.0,30-40%,0-35,0,60,0,1,2013,J
166,AAA,0,South West Region,2.0,20-30%,0-35,0,60,0,1,2013,J
167,AAA,0,North Region,2.0,80-90%,0-35,0,60,0,0,2013,J
168,AAA,1,South East Region,3.0,80-90%,0-35,0,120,0,1,2013,J
169,AAA,1,North Western Region,3.0,80-90%,35-55,0,60,0,1,2013,J
170,AAA,1,London Region,2.0,40-50%,0-35,0,120,0,1,2013,J
171,AAA,1,South East Region,3.0,90-100%,0-35,0,120,0,1,2013,J
172,AAA,1,North Western Region,3.0,40-50%,0-35,0,120,0,1,2013,J
173,AAA,1,South East Region,3.0,60-70%,0-35,0,60,0,1,2013,J
174,AAA,1,West Midlands Region,3.0,80-90%,0-35,0,120,0,0,2013,J
175,AAA,1,West Midlands Region,3.0,70-80%,0-35,0,120,0,1,2013,J
176,AAA,1,Ireland,3.0,90-100%,0-35,0,120,0,1,2013,J
